+==========+====================+===============+=====+=======+====================+===============+
|  Verne   |        Word        |  Occurrences  |     |  Poe  |        Word        |  Occurrences  |
|          |surface             |64             |     |       |velvet              |8              |
|          |three               |63             |     |       |poet's              |8              |
|          |head                |63             |     |       |death               |8              |
|          |words               |62             |     |       |sorrow              |8              |
|          |took                |61             |     |       |thee                |8              |
|          |most                |61             |     |       |copies              |8              |
|          |raft                |61             |     |       |found               |8              |
|          |rock                |60             |     |       |associated          |8              |
|          |leagues             |60             |     |       |information         |8              |
|          |rocks               |60             |     |       |ever                |8              |
|          |day                 |59             |     |       |tell                |8              |
|          |can                 |59             |     |       |her                 |8              |
|          |air                 |59             |     |       |shore               |8              |
|          |found               |58             |     |       |eyes                |8              |
|          |far                 |57             |     |       |just                |8              |
|          |gutenberg-tm        |56             |     |       |been                |8              |
|          |went                |56             |     |       |laws                |8              |
|          |too                 |55             |     |       |domain              |8              |
|          |against             |54             |     |       |yet                 |8              |
|          |hand                |54             |     |       |poems               |8              |
|          |her                 |53             |     |       |how                 |8              |
|          |iceland             |53             |     |       |forth               |8              |
|          |back                |53             |     |       |maiden              |8              |
|          |get                 |52             |     |       |perched             |7              |
|          |why                 |52             |     |       |new                 |7              |
|          |don't               |52             |     |       |days                |7              |
|          |half                |52             |     |       |often               |7              |
|          |going               |51             |     |       |poe's               |7              |
|          |right               |51             |     |       |where               |7              |
|          |granite             |51             |     |       |rare                |7              |
|          |felt                |50             |     |       |darkness            |7              |
|          |heat                |50             |     |       |now                 |7              |
|          |own                 |50             |     |       |permission          |7              |
|          |each                |49             |     |       |came                |7              |
|          |being               |49             |     |       |artist              |7              |
|          |word                |48             |     |       |them                |7              |
|          |hours               |48             |     |       |received            |7              |
|          |world               |48             |     |       |agree               |7              |
|          |much                |47             |     |       |both                |7              |
|          |vast                |47             |     |       |ebooks              |7              |
|          |hour                |47             |     |       |were                |7              |
|          |cannot              |47             |     |       |music               |7              |
|          |look                |46             |     |       |never               |7              |
|          |know                |45             |     |       |surely              |7              |
|          |end                 |45             |     |       |distributing        |7              |
|          |between             |44             |     |       |always              |7              |
|          |doubt               |43             |     |       |shadow              |7              |
|          |snæfell             |43             |     |       |genius              |7              |
|          |course              |43             |     |       |volume              |7              |
|          |take                |43             |     |       |long                |7              |
|          |gallery             |42             |     |       |those               |7              |
|          |place               |42             |     |       |section             |7              |
|          |nor                 |42             |     |       |part                |7              |
|          |night               |41             |     |       |provide             |7              |
|          |lava                |41             |     |       |should              |7              |
|          |saw                 |41             |     |       |haunted             |7              |
|          |whole               |41             |     |       |share               |7              |
|          |lay                 |41             |     |       |o'er                |6              |
|          |shore               |41             |     |       |visiter             |6              |
|          |globe               |41             |     |       |distributed         |6              |
|          |tell                |40             |     |       |make                |6              |
|          |part                |40             |     |       |implore             |6              |
|          |point               |40             |     |       |below               |6              |
|          |days                |39             |     |       |life                |6              |
|          |passed              |39             |     |       |written             |6              |
|          |looked              |39             |     |       |charge              |6              |
|          |say                 |39             |     |       |volunteers          |6              |
|          |she                 |39             |     |       |something           |6              |
|          |wall                |38             |     |       |web                 |6              |
|          |works               |38             |     |       |online              |6              |
|          |gave                |38             |     |       |entreating          |6              |
|          |enough              |37             |     |       |after               |6              |
|          |almost              |37             |     |       |memories            |6              |
|          |many                |37             |     |       |tax                 |6              |
